seg,t_start,t_end,length_ms,k_max,k_min,d12_frac,hq_frac,d60cop,d5,d10,d15,d20,d30,tower_native,pred_frac,tight,kstep,koide_frac
102,8.7220,8.7486,26.6,-78,-678,0.3473,0.3053,0.1953,0.0715,0.0566,0.1167,0.1422,0.0574,0.6397,0.0360,0.8488,70.9,0.5331
103,8.7486,8.7679,19.2,-80,-678,0.3381,0.3206,0.1936,0.0703,0.0518,0.1161,0.1494,0.0562,0.6374,0.0293,0.8463,66.0,0.5192
104,8.7679,8.7779,10.0,-79,-678,0.3420,0.3306,0.2138,0.0782,0.0615,0.1168,0.1241,0.0521,0.6465,0.0385,0.8474,59.0,0.5379
105,8.7779,8.7944,16.5,-80,-678,0.3375,0.3117,0.2057,0.0681,0.0517,0.1155,0.1546,0.0625,0.6580,0.0353,0.8436,73.6,0.5492
106,8.7944,8.8045,10.1,-79,-678,0.3178,0.3188,0.1936,0.0776,0.0507,0.1149,0.1253,0.0590,0.6211,0.0320,0.8523,67.0,0.5231
107,8.8045,8.8367,32.2,-80,-678,0.3485,0.3206,0.1944,0.0685,0.0503,0.1210,0.1382,0.0623,0.6347,0.0282,0.8481,59.1,0.5190
108,8.8367,8.8974,60.7,-76,-678,0.3404,0.3239,0.2047,0.0710,0.0535,0.1129,0.1397,0.0578,0.6396,0.0340,0.8472,62.4,0.5355
109,8.8974,8.9445,47.1,-81,-678,0.3433,0.3038,0.1955,0.0692,0.0490,0.1196,0.1440,0.0522,0.6296,0.0329,0.8504,63.2,0.5280
110,8.9445,8.9962,51.7,-75,-678,0.3406,0.3104,0.2100,0.0755,0.0484,0.1120,0.1385,0.0553,0.6396,0.0284,0.8493,64.5,0.5348
111,8.9962,9.0381,41.9,-80,-678,0.3453,0.3098,0.1904,0.0745,0.0487,0.1144,0.1449,0.0495,0.6224,0.0336,0.8502,60.3,0.5387
112,9.0381,9.0481,10.1,-79,-678,0.3666,0.3157,0.2108,0.0571,0.0633,0.1153,0.1443,0.0665,0.6573,0.0321,0.8452,62.9,0.4894
113,9.0481,9.0727,24.6,-82,-678,0.3474,0.2955,0.1998,0.0787,0.0485,0.1088,0.1322,0.0565,0.6246,0.0356,0.8517,66.7,0.5216
114,9.0727,9.0943,21.5,-76,-678,0.3328,0.3129,0.1876,0.0748,0.0442,0.1234,0.1317,0.0617,0.6234,0.0314,0.8515,66.7,0.5164
115,9.0943,9.1081,13.8,-80,-678,0.3434,0.3252,0.2115,0.0758,0.0553,0.1145,0.1478,0.0425,0.6475,0.0211,0.8474,64.2,0.5264
116,9.1081,9.1763,68.3,-71,-678,0.3376,0.3032,0.2033,0.0743,0.0512,0.1144,0.1415,0.0566,0.6414,0.0319,0.8500,66.7,0.5230
117,9.1763,9.1938,17.4,-81,-678,0.3637,0.2936,0.2001,0.0761,0.0407,0.1138,0.1582,0.0509,0.6399,0.0257,0.8481,63.1,0.5075
118,9.1938,9.2142,20.4,-76,-678,0.3439,0.3004,0.2014,0.0697,0.0564,0.1092,0.1425,0.0507,0.6299,0.0306,0.8509,64.0,0.5435
119,9.2142,9.2334,19.2,-80,-678,0.3504,0.2998,0.1888,0.0664,0.0468,0.1317,0.1387,0.0473,0.6197,0.0260,0.8519,69.2,0.5252
120,9.2334,9.2436,10.2,-79,-678,0.3576,0.2982,0.2141,0.0666,0.0502,0.1158,0.1230,0.0502,0.6199,0.0348,0.8520,68.9,0.5521
121,9.2436,9.2648,21.2,-82,-678,0.3489,0.2982,0.1962,0.0798,0.0527,0.1020,0.1212,0.0557,0.6077,0.0290,0.8555,58.4,0.5245
122,9.2648,9.2749,10.0,-79,-678,0.3424,0.3225,0.2088,0.0689,0.0522,0.1106,0.1326,0.0647,0.6378,0.0322,0.8502,68.1,0.4978
123,9.2749,9.2873,12.4,-81,-678,0.3243,0.3134,0.1955,0.0783,0.0497,0.1146,0.1550,0.0539,0.6470,0.0252,0.8481,56.0,0.5397
124,9.2873,9.3276,40.4,-78,-678,0.3248,0.3269,0.1886,0.0761,0.0469,0.1204,0.1479,0.0515,0.6314,0.0304,0.8496,60.3,0.5276
125,9.3276,9.3536,26.0,-80,-678,0.3332,0.3135,0.1986,0.0709,0.0516,0.1144,0.1426,0.0463,0.6245,0.0357,0.8506,68.8,0.5253
126,9.3536,9.3784,24.8,-76,-678,0.3197,0.3281,0.1839,0.0768,0.0472,0.1316,0.1396,0.0557,0.6348,0.0362,0.8486,65.5,0.5461
127,9.3784,9.3945,16.1,-81,-678,0.3476,0.3191,0.2153,0.0726,0.0519,0.1089,0.1401,0.0551,0.6440,0.0278,0.8487,61.3,0.5138
128,9.3945,9.4165,22.0,-78,-678,0.3425,0.2998,0.2106,0.0631,0.0517,0.1290,0.1433,0.0621,0.6599,0.0270,0.8437,62.5,0.5501
129,9.4165,9.4311,14.6,-81,-678,0.3278,0.3142,0.1887,0.0854,0.0473,0.1090,0.1255,0.0502,0.6062,0.0358,0.8548,58.4,0.5224
130,9.4311,9.4954,64.3,-75,-678,0.3372,0.3199,0.1914,0.0791,0.0484,0.1113,0.1442,0.0538,0.6282,0.0297,0.8496,65.8,0.5276
131,9.4954,9.5226,27.3,-80,-678,0.3541,0.2960,0.2120,0.0730,0.0500,0.1161,0.1383,0.0550,0.6444,0.0355,0.8479,68.3,0.5250
132,9.5226,9.5726,50.0,-74,-678,0.3466,0.3019,0.1958,0.0737,0.0503,0.1173,0.1382,0.0580,0.6334,0.0362,0.8508,61.7,0.5168
133,9.5726,9.5926,19.9,-81,-678,0.3418,0.3070,0.1985,0.0690,0.0448,0.1143,0.1522,0.0427,0.6214,0.0287,0.8497,65.3,0.5242
134,9.5926,9.6082,15.7,-79,-678,0.3373,0.3293,0.1989,0.0739,0.0506,0.1251,0.1464,0.0645,0.6593,0.0279,0.8458,65.2,0.5312
135,9.6082,9.6351,26.8,-81,-678,0.3158,0.3423,0.1990,0.0736,0.0518,0.1203,0.1328,0.0607,0.6382,0.0365,0.8484,59.6,0.5491
136,9.6351,9.6655,30.4,-75,-678,0.3295,0.3199,0.2061,0.0745,0.0479,0.1186,0.1441,0.0565,0.6477,0.0295,0.8460,56.2,0.5290
137,9.6655,9.6777,12.2,-81,-678,0.3402,0.3120,0.1966,0.0709,0.0393,0.1034,0.1607,0.0556,0.6265,0.0383,0.8521,66.5,0.4946
138,9.6777,9.7045,26.8,-74,-678,0.3384,0.3169,0.1801,0.0813,0.0457,0.1239,0.1434,0.0500,0.6245,0.0412,0.8489,63.6,0.5084
139,9.7045,9.7166,12.1,-82,-678,0.3388,0.3405,0.2103,0.0802,0.0319,0.1155,0.1543,0.0552,0.6474,0.0250,0.8440,69.9,0.5381
140,9.7166,9.7280,11.4,-76,-678,0.3330,0.3074,0.1995,0.0732,0.0439,0.1098,0.1382,0.0522,0.6167,0.0301,0.8542,68.8,0.5354
